id,sellValue,buyValue,sellDay,buyDay
2,126,100119,5825,6913
3,153,100113,1524,3814
4,187,100101,1150,1918
5,169,100114,164,4892
6,134,100079,1403,1534
7,172,100122,244,803
8,144,100050,5013,5306
9,144,100104,523,4518
10,164,100113,7202,9209
11,205,100109,1143,1177
12,157,100121,2658,3160
13,163,100109,1882,2702
14,155,100005,1997,4318
15,146,100115,5220,6177
16,135,100062,723,1320
17,149,100102,2915,3171
18,125,100116,2237,9706
19,164,100109,1343,3630
20,130,100101,470,2907
21,153,100083,1969,3772
22,228,100124,3262,4951
23,225,99994,1581,1823
24,145,100065,7407,8159
25,142,100116,44,7031
26,134,100111,4657,7735
27,159,100114,242,2053
28,182,100120,7220,7668
29,126,100091,1077,4190
30,149,100114,634,5228
31,160,100101,465,2176
32,127,99998,1776,1801
33,128,100087,4212,5137
34,144,100122,1068,3556
35,129,100117,5684,7412
36,132,100108,2845,3660
37,185,100060,1329,1584
38,130,100120,2522,5751
39,130,100082,3020,3135
40,152,100123,5236,8025
41,127,100088,1946,2415
42,179,100089,2800,4564
43,126,100082,1444,6043
44,311,100064,532,2397
45,164,100123,3585,4306
46,148,100028,2383,2733
47,154,100119,2642,2828
48,153,100095,3860,3878
49,154,100121,1370,1397
50,133,100082,5592,6166
51,307,100040,427,1085
52,138,100117,1590,1943
53,145,100110,860,5894
54,139,100104,8578,8693
55,133,100106,5340,8178
56,137,100090,5291,5776
57,125,100114,2656,3702
58,171,100122,644,785
59,132,100096,3155,5171
60,135,100112,1663,3834
61,125,100123,2506,6307
62,131,100090,426,2885
63,129,100104,4018,4901
64,126,100102,4815,5208
65,202,100123,67,2196
66,136,100101,3292,3619
67,125,100052,85,1942
68,125,100118,1778,6139
69,196,100113,1059,2169
70,131,100121,3875,4260
71,143,100099,4754,6501
72,133,100055,4462,5254
73,135,100065,3313,3358
74,187,100119,418,1234
75,128,100095,626,856
76,132,100119,800,1472
77,130,100067,216,236
78,157,100086,2210,2263
79,125,100102,2423,7254
80,144,100039,2895,3390
81,173,99539,326,751
82,184,100080,2391,3454
83,187,100102,1719,1906
84,130,100068,939,2299
85,174,100101,131,986
86,245,100117,362,1340
87,137,100088,5846,6410
88,135,100077,3367,3637
89,207,100066,752,2409
90,143,100111,83,1166
91,155,100124,2884,3102
92,170,100090,1451,1565
93,135,100112,3419,5202
94,136,100095,1270,2999
95,138,100083,2699,5057
96,129,100120,2949,3859
97,145,100110,1688,3254
98,137,100104,5576,6568
99,294,100115,446,762
100,152,100007,931,1201
101,172,100115,4975,5005
102,135,100119,1681,8186
103,130,100115,2067,4399
104,131,100120,2009,4273
105,234,100094,1155,2601
106,134,100064,5789,6765
107,127,100118,1675,3722
108,136,100062,201,1366
109,188,100105,165,1941
110,135,100120,633,5399
111,129,100114,1102,2030
112,174,100039,1424,1454
113,135,99924,524,1088
114,166,100090,1190,1470
115,133,100051,1330,2416
116,149,100121,2507,4737
117,126,100098,2844,5609
118,163,100114,735,978
119,153,100096,1343,6986
120,167,100097,840,917
121,133,100103,2090,3775
122,161,100121,732,3435
123,265,100111,763,1525
124,176,100100,842,1642
125,133,100123,1116,4521
126,138,100121,178,4334
127,137,100094,531,3615
128,144,100114,2357,4192
129,128,99917,783,859
130,128,100120,341,3649
131,176,100120,2710,4310
132,135,100096,515,1024
133,135,100114,620,2536
134,125,100109,8331,8666
135,145,100122,256,1174
136,160,100118,818,1096
137,142,100119,2752,9147
138,132,100101,557,900
139,255,100082,252,470
140,135,100100,3157,3789
141,205,100117,83,230
142,126,100120,1222,7344
143,229,100101,924,1159
144,134,100108,1126,3343
145,137,100116,2044,3587
146,138,100105,1406,4413
147,230,99907,219,408
148,131,100091,5403,6245
149,144,100046,1361,1440
150,134,100124,4808,6939
151,158,100124,772,1209
152,128,100115,3138,5250
153,484,100104,300,441
154,129,100101,5660,6613
155,125,100101,1472,4085
156,158,99833,1300,1487
157,178,100094,2183,4817
158,125,100113,1241,2283
159,185,100023,138,359
160,147,100124,6349,7166
161,128,100110,1896,4922
162,225,100062,1421,1975
163,153,100093,426,795
164,148,100102,1583,1984
165,251,100038,16,1140
166,189,100100,82,1219
167,130,100095,3242,7335
168,208,100093,1756,2079
169,148,100080,1658,2744
170,168,100061,3797,4704
171,196,100084,586,1163
172,125,100041,932,997
173,126,100115,482,4321
174,219,100088,1037,2562
175,176,100109,5788,7153
176,142,100109,5336,5743
177,237,100111,786,2229
178,159,100058,207,5944
179,127,100121,5314,8936
180,270,100107,625,1041
181,130,100087,5287,5390
182,137,100078,412,413
183,139,100116,6173,8980
184,132,100100,2295,3869
185,128,100093,3436,7875
186,134,100077,6357,6961
187,145,100112,235,447
188,252,100079,1217,1657
189,144,100086,1451,2770
190,159,100098,1175,1566
191,129,100091,1844,1906
192,129,100115,45,1490
193,126,100057,2446,2690
194,129,100096,977,6998
195,141,100110,1080,1639
196,143,100102,125,2447
197,156,100119,622,1203
198,131,100106,1619,1696
199,139,100098,4998,6603
200,173,100114,1059,3032
201,150,100124,1338,2519
202,137,100071,2031,3974
203,135,100080,2255,3266
204,145,100036,745,1727
205,134,100092,6269,8129
206,236,100002,395,3025
207,168,100093,1284,2994
208,208,100104,825,1089
209,134,100105,513,2306
210,127,100111,3029,3405
211,223,100118,1932,2677
212,158,100113,368,2161
213,172,100122,2671,4375
214,131,100118,2847,6647
215,150,100115,2493,2555
216,202,100107,815,1411
217,128,100111,4631,5499
218,125,100099,2546,4468
219,129,100121,1551,6226
220,128,100124,3194,8763
221,132,100124,3733,4140
222,133,100103,5481,5800
223,136,100029,1089,1152
224,219,100075,781,1623
225,154,100112,1797,2010
226,126,100111,1158,4111
227,136,99970,1213,1518
228,262,100075,908,909
229,146,100124,2996,3165
230,184,100094,1943,2165
231,133,100022,3102,4475
232,139,100124,1873,2442
233,145,100109,562,3080
234,125,100118,3818,5255
235,133,100114,1719,2700
236,127,100121,2332,2802
237,166,100084,358,934
238,128,100121,6327,6462
239,140,100092,2549,4067
240,140,100102,881,1596
241,258,100043,925,1518
242,130,100120,1707,3381
243,133,100101,5763,6855
244,129,100091,2337,2386
245,140,100088,333,926
246,126,100088,992,5616
247,167,100076,1032,1973
248,226,100089,889,1128
249,211,100122,877,2653
250,126,100120,4540,6868
251,138,100112,672,949
252,141,100098,844,2028
253,155,100116,602,667
254,156,100118,677,3430
255,150,100111,3998,4178
256,127,100118,6513,8132
257,155,100094,1973,2062
258,130,100121,3890,4075
259,130,100094,1427,3823
260,151,100121,2684,2941
261,171,100062,3163,5014
262,244,100119,1826,1839
263,132,100066,48,1920
264,126,100121,1855,3601
265,134,100118,171,1237
266,153,100122,834,6898
267,142,100120,970,1096
268,192,100060,1259,1424
269,152,100117,5942,7854
270,226,100106,1148,1478
271,131,100110,1961,5237
272,145,100114,2350,2871
273,125,100073,1523,2423
274,196,100107,2876,3047
275,130,100075,2874,3136
276,178,100038,1609,1852
277,129,100092,3698,5980
278,198,100110,1363,3024
279,134,100099,2096,4770
280,220,100112,1550,1798
281,147,100124,632,5301
282,220,100015,76,121
283,129,100090,588,2616
284,130,100077,163,4366
285,125,100119,2651,3762
286,129,100098,4003,9162
287,128,100115,1628,1858
288,141,100106,5361,6621
289,125,100079,8912,9104
290,176,100114,441,880
291,186,100110,460,6156
292,225,100063,1654,1918
293,127,100121,370,5385
294,135,100027,2478,3958
295,199,99987,1306,1499
296,131,100122,221,7216
297,147,100122,2690,4422
298,149,100124,3141,4962
299,154,100099,394,745
300,159,100100,2330,3424
301,173,100103,1222,2213
302,126,100102,1237,7221
303,166,100110,605,3110
304,170,100095,1148,1652
305,143,100051,1209,1667
306,163,100043,917,3068
307,137,100100,5853,6662
308,146,100113,1262,1698
309,142,100061,828,1955
310,213,100060,1090,1268
311,139,100124,2064,6020
312,253,100107,1211,1333
313,185,100117,448,731
314,141,100114,188,1006
315,138,100104,4070,4668
316,128,100104,5543,6931
317,129,100053,182,219
318,148,100118,5877,7609
319,177,100120,1938,2628
320,129,100103,279,4037
321,132,100121,630,3284
322,130,100123,764,4341
323,175,100124,12,1401
324,130,100095,4383,7717
325,129,100112,555,5624
326,142,100098,2697,3016
327,163,100115,754,4658
328,201,100121,1626,1641
329,134,100111,6397,7435
330,161,100089,1185,3274
331,135,100091,4621,5109
332,167,100108,708,6708
333,143,100118,331,1492
334,138,100083,104,1078
335,128,100096,1599,1609
336,131,100120,929,8178
337,195,100075,589,1720
338,244,100117,52,552
339,171,100010,1055,2013
340,130,100113,2449,4524
341,140,100115,6745,7216
342,133,100098,432,1709
343,174,100106,4646,6096
344,144,100121,27,245
345,163,100081,330,833
346,218,100113,1742,3150
347,144,100080,5813,6328
348,157,100077,5356,6253
349,132,100097,571,2087
350,145,100102,6880,7391
351,165,100116,604,1376
352,160,100084,3454,5300
353,174,100123,837,3896
354,135,100111,44,2787
355,134,100080,4570,4759
356,146,100115,2073,3029
357,133,100086,2143,2573
358,128,100031,2096,4071
359,127,100116,8274,9215
360,126,100090,1066,2542
361,128,100070,2497,2808
362,171,100117,1067,3020
363,127,100093,5004,7851
364,164,100039,522,525
365,148,100108,1318,6662
366,168,100124,412,670
367,413,100049,1162,1378
368,129,100118,5439,5669
369,376,99929,255,397
370,127,100118,1939,2297
371,170,100098,1756,3674
372,142,100119,186,2001
373,129,100063,4112,5227
374,130,100105,2489,4459
375,140,100099,420,576
376,228,100079,2447,3430
377,165,100116,1591,5054
378,149,100121,874,2489
379,140,100070,5007,5191
380,128,100101,2610,5520
381,127,100122,178,2375
382,298,100045,967,1494
383,160,100105,979,1622
384,127,100113,3187,5365
385,145,100120,1770,4875
386,144,100091,2793,3093
387,145,100122,2050,2366
388,129,100086,3562,4740
389,129,100094,2771,10831
390,151,100124,2911,5253
391,160,100117,1418,1547
392,167,100094,3590,6744
393,152,100107,1493,5298
394,163,100110,601,4339
395,152,100074,3297,8611
396,200,100084,1056,1349
397,159,100032,710,1969
398,142,100118,3763,4699
399,167,100123,1792,5232
400,128,100087,3004,7877
401,137,100081,5785,6012
402,153,100089,3138,8148
403,132,100098,3638,7009
404,151,100117,528,919
405,150,100110,5685,6149
406,127,100077,7082,8565
407,146,100124,257,3048
408,141,100047,444,728
409,147,100085,2061,2297
410,138,100105,1180,2546
411,166,100117,502,1097
412,209,100118,932,997
413,135,100101,1772,7119
414,126,100119,2971,5464
415,150,100093,938,1840
416,153,100058,1574,2992
417,153,100115,2717,8890
418,151,100071,1001,3003
419,133,100122,3916,6066
420,139,100115,3347,3807
421,234,100106,9,936
422,255,99925,976,1253
423,138,100105,5922,6048
424,134,100120,2630,4594
425,170,100081,4089,4521
426,164,100123,1640,4092
427,219,99781,489,999
428,128,100123,7105,8680
429,135,100105,476,2295
430,216,100105,636,3783
431,136,100120,1605,2744
432,131,100091,1053,4770
433,163,100122,1155,4250
434,626,100084,65,816
435,156,100039,3392,3815
